ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_1763	1988	2526	1883	2399	720	811	1160	997	480	207	672	1149	300
H041_1764	579	1143	578	704	279	364	428	378	331	81	340	535	122
H041_1765	494	682	612	565	149	148	334	129	124	45	123	163	60
H041_1766	9842	10200	5222	9348	2248	2421	3069	2734	2030	702	2299	3661	1005
H041_1767	1383	4042	1716	2634	888	616	1091	655	615	220	459	719	293
H041_1768	2197	5740	2117	4487	704	537	776	288	474	171	312	401	225
H041_1769	3869	4793	2727	4639	892	1245	1821	756	858	266	872	972	313
H041_177	18688	36301	10705	31695	26964	38770	39392	18830	27450	6007	18794	24498	8306
H041_1770	4367	5187	3061	5320	1698	1339	1950	1186	983	405	1029	1585	560
H041_1771	4732	7785	3778	7804	1585	1270	1921	1165	958	440	1116	1639	629
H041_1772	2374	2904	2196	4266	1176	2635	4343	849	871	365	1816	1998	483
H041_1773	19982	57497	17680	49902	5817	4523	6732	4158	4505	1472	6700	10055	2639
H041_1774	15087	44393	23979	34213	10651	12071	18100	10632	9586	1833	7386	12140	3546
H041_1776	2030	3259	2054	3097	2019	1356	2080	1603	1593	399	783	1190	556
H041_1777	987	1908	1023	1688	1361	1319	2073	1252	922	238	613	945	352
H041_1778	1515	2049	2013	1188	1260	1512	2468	1724	1014	289	772	1094	398
H041_1779	17682	31990	19026	27904	10033	8717	13667	8363	8460	2294	5536	8650	3892
H041_178	4628	9260	4631	7741	5605	5072	7976	6292	5134	1105	3050	5067	1652
H041_1780	10175	19590	9882	12913	11399	10760	14346	10886	8431	2250	5790	8987	3008
H041_1781	299	694	354	364	245	323	367	237	274	79	133	237	73
H041_1782	936	611	266	582	244	403	476	432	132	85	334	603	91
H041_1783	30384	45095	22716	48296	10102	11151	13742	10183	6519	3274	12855	21536	4495
H041_1784	47915	59592	40861	66079	13157	17451	20769	14404	8815	3984	14107	20589	5367
H041_1785	1285	3309	1888	2584	838	764	1327	364	613	231	507	584	306
H041_1786	203	514	355	462	167	126	247	74	124	46	96	100	56
H041_1787	1893	4806	2032	3563	693	529	753	478	650	180	521	620	268
H041_1788	7034	9037	6702	7465	2468	3649	6094	2139	2957	664	2263	2745	882
H041_1789	1652	4058	2406	2980	635	1172	1778	864	672	179	702	1030	219
H041_179	11825	22397	11525	17322	10747	10470	15999	11508	9872	1849	6597	11098	2896
H041_1790	19616	40259	13394	49393	3195	4054	5432	3293	3060	1077	8130	12595	1892
H041_1791	1407	2860	1236	2943	433	513	621	369	417	112	497	687	206
H041_1792	458	1035	427	968	198	154	279	179	144	74	209	364	83
H041_1794	2261	4146	2014	4269	2440	1654	2492	1225	1339	336	1109	1662	566
H041_1795	1691	2974	1886	2338	1481	1384	2267	1159	937	261	783	1328	311
H041_1796	855	2414	1465	1760	1924	1190	2466	1146	1191	221	716	1274	379
H041_1797	3198	7156	3434	5133	3613	3188	4741	1893	2269	567	1916	2476	811
H041_1798	2143	5782	2448	5376	1131	952	1572	1044	1011	232	700	1301	393
H041_1799	10299	11148	5336	12437	1963	2707	3166	2285	1634	573	2116	3133	1073
H041_18	1145	2026	1515	1739	599	374	1056	612	346	127	259	516	265
H041_180	7512	15608	5874	15524	3904	4592	6411	2112	3635	804	3070	3116	1245
H041_1800	427	604	267	651	242	143	234	183	124	74	102	153	97
H041_1801	2046	3028	1435	2949	1236	922	1378	1238	795	296	653	1204	428
H041_1802	3504	6124	3326	5015	1723	1961	2906	1871	1665	491	1309	1974	616
H041_1803	1770	4780	2293	3185	1305	1187	1750	1297	1121	227	666	1140	362
H041_1804	92	207	124	154	48	20	50	7	19	4	15	26	13
H041_1805	237	433	244	395	227	84	185	102	76	31	60	122	68
H041_1806	4	10	4	1	3	2	8	0	1	1	0	0	0
H041_1807	434	992	574	761	234	126	274	147	114	56	76	158	82
H041_1808	5	21	22	27	11	4	16	4	0	7	8	13	1
H041_1809	29	85	56	42	17	11	22	14	9	6	13	15	4
H041_181	932	953	550	993	312	293	349	233	163	57	180	244	50
H041_1810	18	23	15	20	3	2	12	0	0	5	0	3	2
H041_1811	274	436	236	425	127	80	169	60	45	31	71	98	26
H041_1812	4	7	10	8	5	0	6	1	1	0	1	0	1
H041_1813	38	91	80	71	35	19	63	16	9	9	9	19	7
