ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_2	299	347	128	143	567	477	541	400	471	59	219	244	94
H041_20	23334	60882	31742	45354	8471	11745	17401	12496	9422	2350	8146	14878	2977
H041_200	2484	4170	2091	4221	1535	1759	2398	1047	1100	371	1116	1545	468
H041_2003	839	1591	1057	1638	670	955	1494	763	841	127	623	780	233
H041_2004	727	1755	1489	946	428	761	1268	453	409	97	496	692	100
H041_2005	115	161	131	52	425	272	466	235	207	61	146	228	117
H041_2006	61898	134455	84086	126833	56813	55771	110777	50089	43748	12716	38666	62325	16963
H041_2007	12489	11055	7106	11653	5666	4918	6221	6282	3843	1241	3142	5686	1711
H041_2008	2839	3011	2834	2839	1305	1236	2269	1442	892	184	731	1269	285
H041_2009	5999	9712	6409	7603	7801	5526	7544	5984	4567	1473	2456	4333	1899
H041_201	631	1256	1208	758	799	1359	2128	749	767	207	890	1149	189
H041_2010	6479	12735	8198	10727	7519	7121	9892	7000	5980	1387	3406	5063	1926
H041_2011	7427	12580	7841	7294	16415	11772	16622	13484	9494	2827	4434	7950	3592
H041_2012	530	987	865	596	1618	1086	1912	989	813	202	405	730	309
H041_2013	7869	12162	9419	9446	10166	7857	11325	9840	6451	1723	4025	7470	2478
H041_2014	6816	13538	9294	10705	8906	6322	9829	7105	5993	1480	3356	6385	2321
H041_2015	22065	43463	20399	36700	8491	9204	12709	11012	7985	2211	6868	11235	3348
H041_2016	764	1635	1149	1498	549	500	1302	283	572	148	337	286	185
H041_2017	57964	98833	49299	104540	21238	21740	29284	15608	16600	5316	18149	25022	7963
H041_2018	1629	3052	1772	2587	2046	1521	2308	1420	1554	334	823	1478	529
H041_2019	2564	3658	2409	3551	2241	1550	2254	1374	1608	378	941	1441	582
H041_202	2617	6934	2952	5098	2068	2265	2669	2102	1759	525	1811	2992	708
H041_2020	7088	13377	7822	9993	7384	7675	9813	6810	5708	1342	4055	6689	2020
H041_2021	4577	6908	3387	6739	2623	2217	2854	2170	1655	502	1572	2409	719
H041_2022	40	101	17	73	39	41	38	27	41	3	16	19	17
H041_2023	100	215	75	151	114	99	156	82	104	27	55	78	43
H041_2024	3648	12606	6736	11076	1827	2933	5182	1703	1867	478	1962	2629	760
H041_2025	230	484	246	249	450	399	543	247	266	78	129	196	106
H041_2026	3058	1259	1025	1443	305	493	674	495	180	103	396	704	139
H041_2027	291	560	285	343	303	304	404	269	233	67	123	160	68
H041_2028	588	1777	550	1195	607	554	941	537	583	123	353	551	138
H041_2029	79	254	182	125	47	80	106	40	34	8	57	67	7
H041_203	1843	4308	2504	3760	844	1240	1439	697	739	141	988	1314	257
H041_2030	2128	5112	2001	3688	688	862	823	773	742	158	683	1091	204
H041_2031	2418	4197	1678	3827	1151	1415	1927	767	1104	307	772	980	402
H041_2032	168	285	251	212	196	153	248	199	190	25	69	151	49
H041_2033	401	500	369	351	152	149	276	217	137	41	87	200	37
H041_2034	167	322	214	259	82	148	241	86	85	25	94	172	16
H041_2035	134	308	183	272	78	97	92	120	71	15	63	169	28
H041_2036	307	572	363	615	112	99	194	115	123	16	86	250	20
H041_2037	2753	8085	3669	6464	786	539	791	947	1313	173	573	1652	207
H041_2038	636	1730	613	834	505	315	477	471	329	67	168	436	94
H041_2039	1483	4729	1293	3365	543	354	471	470	476	68	224	429	97
H041_204	733	1988	785	1863	967	616	1067	659	691	151	489	774	230
H041_2040	7884	16842	7017	12237	7161	6611	8470	7073	5777	1393	4186	6607	1793
H041_2041	8807	22382	8023	23795	3465	3942	3942	3213	3817	721	2393	3694	1241
H041_2042	767	2147	1190	985	1693	1018	2835	1434	1067	256	527	899	389
H041_2043	6614	14654	6944	9199	6430	6044	11161	6390	5725	1229	3991	5975	1675
H041_2044	3677	6397	2867	4982	2600	2777	4586	2282	2762	486	1923	2468	678
H041_2045	860	1182	601	1182	1096	874	1835	986	756	191	518	830	231
H041_2046	215	562	257	315	592	363	915	293	339	85	205	288	114
H041_2047	17867	31344	14744	29602	12750	11029	17824	10334	9077	2761	7062	11390	3771
H041_2048	93	282	138	209	115	123	234	107	122	18	86	118	17
H041_2049	8982	16317	6542	12303	3314	4329	5538	4617	3373	768	3020	4996	1260
H041_205	764	2062	825	2185	1062	725	1219	773	795	192	543	917	278
H041_2050	6592	6103	4682	5726	2130	2842	4489	3684	1973	493	1925	3646	828
H041_2051	2829	3266	2393	3081	1491	1761	3133	1768	1309	315	1170	1730	474
H041_2052	2354	2409	2018	2374	1538	1375	2927	1768	1177	310	870	1401	481
H041_2053	1718	2111	1515	1867	1177	1098	2083	1323	987	263	749	944	406
H041_2054	7703	8808	5255	9377	3814	3659	5526	3141	3232	836	2156	3095	1436
H041_2055	31	56	26	78	31	45	85	9	17	5	28	22	17
H041_2056	686	1112	469	1183	476	635	687	454	355	84	326	456	125
H041_2057	258	408	181	538	79	88	127	83	89	36	87	94	35
H041_2058	9255	20474	14041	22411	1662	1542	2158	1108	1837	451	2133	2669	658
H041_2059	1282	2372	986	2262	1120	845	1095	910	805	209	452	792	278
H041_206	30557	47839	23854	51264	13402	13574	17555	13896	12544	3728	11670	17211	5671
H041_2060	4029	6703	3968	5422	2220	2263	3032	2443	1896	673	1863	2993	775
H041_2061	108	203	213	113	67	166	203	122	78	9	100	138	14
H041_2062	4141	8463	3489	4836	1028	1013	1536	613	837	296	969	949	390
H041_2063	294	958	1319	442	101	163	235	135	87	31	128	222	45
H041_2064	2	2	2	3	0	2	1	3	1	0	0	0	0
H041_2065	1212	1528	731	860	917	823	1147	705	750	142	613	672	191
H041_2066	58127	70769	53666	80642	27026	26514	34300	30242	30574	4602	17367	27609	5316
H041_2067	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2068	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2069	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_207	1364	1478	885	1607	1742	1140	1933	1471	1175	322	616	1128	478
H041_2070	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2071	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2072	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2073	300	1019	608	760	146	399	567	294	192	40	278	367	46
H041_2074	1813	1649	1252	1914	887	1147	1671	1112	620	199	709	1163	225
H041_2075	2097	3123	1779	3221	2046	2276	3222	1876	1505	366	1532	2086	563
H041_2077	3321	7573	3634	5079	3087	5651	7377	3909	3567	604	3509	5036	1021
H041_2078	3437	4942	2722	4100	2503	2506	3322	2203	2030	561	1464	2215	825
H041_2079	3860	8391	5319	6180	2648	4009	6189	3252	2082	757	2249	3474	834
H041_208	25915	19313	10925	19281	7028	5829	9298	7154	5368	1701	4456	7144	2670
H041_2080	837	1565	1195	1343	524	921	1534	450	362	144	572	600	174
H041_2081	6324	10243	7162	2554	4744	18311	23543	5774	4154	519	8083	6044	830
H041_2084	14064	29019	13997	23268	14426	14826	22518	11209	13932	2824	9266	13027	4245
H041_2085	32303	18100	14064	19199	5776	8631	13340	8738	10930	2157	5716	8260	2785
H041_2086	1026	1689	683	1611	744	642	870	653	651	154	476	643	184
H041_2087	2210	5915	3149	3469	1484	2533	3512	2225	1527	406	1569	2293	492
H041_2088	125	100	88	83	188	111	114	117	54	33	22	50	24
H041_2089	92	140	58	84	218	85	213	105	84	43	35	57	30
H041_209	2949	6159	2453	4637	2551	2584	4295	2308	2507	554	1507	2361	692
H041_2090	166	298	183	107	399	207	502	264	191	55	92	177	62
H041_2091	158	500	354	473	115	140	139	109	78	15	104	115	25
H041_2092	3938	11531	3493	8448	1506	1869	2327	1447	1528	426	1556	2270	587
H041_2093	3233	4454	2224	4067	2570	2700	3658	2822	2533	606	1624	2205	845
H041_2094	6497	15590	5962	8620	4987	5998	8086	5912	4750	930	4221	6534	1302
H041_2095	0	0	0	0	1	0	0	0	0	0	0	0	0
H041_2096	62	120	49	84	55	46	94	36	51	19	30	45	15
H041_2097	156	334	177	301	94	83	173	107	93	32	53	104	38
H041_2098	123	455	295	290	80	150	240	116	125	23	73	145	29
H041_2099	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_21	2642	6596	3018	5799	2161	2362	3207	1719	1807	491	1804	2245	768
H041_210	1903	2739	1415	2739	1803	1599	2727	1387	1239	437	1004	1451	481
H041_2100	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2101	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2102	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2103	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2104	2211	1927	1405	1694	435	620	807	633	350	155	588	762	201
H041_2105	451	753	470	626	151	206	354	127	90	42	146	200	56
H041_2106	92	88	115	106	14	10	52	6	6	3	9	8	5
H041_2107	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2108	2552	5272	2260	6000	528	457	627	462	577	154	484	809	260
H041_2109	1100	1519	823	1376	297	323	395	239	271	89	199	296	111
H041_211	60391	104028	53490	89145	33713	28147	45389	30529	26687	7509	19742	29940	11575
H041_2110	50	138	95	42	235	272	433	267	192	30	105	156	29
H041_2111	347	761	310	735	186	158	178	143	150	55	111	215	87
H041_2112	85	216	113	109	155	219	286	202	144	23	151	179	51
H041_2113	647	2014	875	1286	507	1129	1258	728	573	122	495	742	116
H041_2114	661	1958	806	1149	803	1231	1518	1351	882	163	723	1253	178
H041_2115	693	2006	797	1003	666	765	1173	741	576	121	494	693	177
H041_2116	1356	2338	909	1823	1256	1635	1881	1559	1296	251	944	1590	324
H041_2117	2964	4398	2210	3844	1060	790	1141	793	728	182	583	952	298
H041_2118	2476	3700	2013	3861	2060	1777	2430	1640	1452	355	1224	1830	597
H041_2119	205	457	214	475	137	143	211	105	138	27	112	188	47
H041_212	4182	7899	4349	7638	2954	2762	4596	2446	2690	632	1865	2905	1135
H041_2120	525	1642	865	1193	729	328	1221	310	531	88	211	321	204
H041_2121	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2122	10	13	11	6	9	1	21	8	5	0	5	5	2
H041_2123	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2124	4	26	18	23	36	7	34	5	6	2	9	6	14
H041_2125	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2126	1266	3679	670	2296	1697	1132	1316	1373	1907	330	832	1300	584
H041_2127	211	680	186	265	410	351	580	268	460	57	254	295	97
H041_2128	1543	4829	1295	2776	2324	1757	2470	2442	2328	387	1268	2390	741
H041_2129	813	2126	938	874	1813	1384	2618	1588	1654	236	1007	1564	437
H041_213	28482	45295	22601	44680	7906	8921	13613	13580	9414	2756	7078	13686	5168
H041_2130	1534	4236	995	2612	1285	1155	1503	1403	1430	215	809	1406	371
H041_2131	12	33	10	24	9	6	31	5	7	1	5	7	1
H041_2132	619	1797	625	974	1309	1247	1837	1303	1320	223	838	1324	349
H041_2133	3013	9239	2762	6235	3318	2530	3766	3103	3468	647	1789	3099	1173
H041_2134	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2135	0	0	0	0	0	1	0	0	0	0	0	0	0
H041_2136	0	1	0	0	0	1	0	1	0	0	1	0	0
H041_2137	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2138	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2139	211	379	155	456	104	50	78	40	51	29	36	55	46
H041_214	1083	1833	1288	1807	660	453	1131	594	418	190	323	540	344
H041_2140	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2141	39	74	58	79	18	17	17	8	6	19	17	22	12
H041_2142	168	244	212	184	28	39	78	47	37	55	85	130	38
H041_2143	15	8	13	10	6	3	5	0	1	1	6	8	5
H041_2144	10	14	9	35	2	1	3	9	3	3	6	18	5
H041_2145	147	126	66	136	29	18	23	20	27	6	12	31	16
H041_2146	0	0	1	2	1	1	0	1	2	0	0	2	0
H041_2147	20	42	50	31	29	40	112	19	23	6	11	12	8
H041_2148	0	1	0	1	0	1	0	0	0	0	1	0	0
H041_2149	842	2675	1736	1826	561	757	1428	581	697	82	529	845	163
H041_215	1025	2474	1143	1741	977	670	1173	1013	614	257	430	754	434
H041_2150	90	186	86	130	30	53	64	32	54	6	30	48	10
H041_2151	9	10	19	8	3	7	18	4	4	2	1	6	1
H041_2152	503	915	484	954	215	237	406	272	216	46	138	247	63
H041_2153	209	415	104	255	45	61	46	33	34	20	23	44	13
H041_2154	122	307	92	179	49	35	39	40	40	10	49	72	22
H041_2155	2	6	8	4	2	1	6	2	0	0	1	1	1
H041_2156	48	76	36	103	17	12	25	8	24	8	12	15	10
H041_2157	21	31	24	12	45	28	60	39	31	6	21	31	11
H041_2158	65	128	58	86	16	12	29	10	8	1	16	11	7
H041_2159	327	984	326	545	281	246	398	192	348	57	201	286	102
H041_216	11092	20113	9552	13227	6431	6429	9599	8448	5234	1723	3623	6127	2435
H041_2160	1309	3827	1248	2472	486	336	647	410	569	148	337	525	252
H041_2161	6	13	13	16	3	5	17	3	7	2	4	7	1
H041_2162	72	115	73	122	12	11	15	9	12	5	9	8	6
H041_2163	19	27	13	15	10	8	21	8	8	3	8	4	3
H041_2164	65	193	126	146	69	49	102	56	50	12	38	65	13
H041_2165	10	28	29	19	14	4	19	10	5	2	8	12	6
H041_2166	42	57	40	49	12	10	32	19	11	6	7	28	4
H041_2167	133	265	127	311	63	52	75	61	55	10	30	42	23
H041_2168	28	59	29	59	19	35	40	28	22	5	12	19	4
H041_2169	84	118	69	56	9	2	20	2	8	5	2	6	3
H041_2170	13	29	14	14	6	5	18	7	8	2	2	6	1
H041_2171	18	40	33	20	4	7	12	0	3	1	9	3	1
H041_2172	0	1	0	0	0	0	0	1	0	0	0	0	0
H041_2173	59	94	37	111	21	13	27	10	26	1	15	9	13
H041_2174	4	12	8	3	16	13	20	16	16	4	9	19	4
H041_2175	661	748	529	837	361	481	911	213	215	96	272	232	98
H041_2176	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2177	2	1	6	1	2	0	9	0	1	0	1	0	0
H041_2178	2	3	2	2	2	0	2	1	0	0	0	0	0
H041_2179	490	670	346	628	308	255	356	307	143	76	172	312	101
H041_218	13473	36663	13233	22637	11376	8766	14854	10324	9076	1970	4705	7119	2632
H041_2180	809	1097	509	1072	564	491	649	605	251	147	334	619	158
H041_2181	1082	1765	464	2060	90	149	219	79	102	51	220	221	55
H041_2182	947	464	190	499	136	268	259	201	104	59	174	258	54
H041_2183	2304	5339	2846	4344	701	539	801	663	477	207	455	757	237
H041_2184	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2185	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2186	0	2	1	0	0	0	2	1	0	0	0	0	1
H041_2187	1	2	0	2	0	0	1	0	1	0	0	0	0
H041_2188	7	1	2	0	3	0	0	1	0	0	0	1	0
H041_2189	0	0	2	1	1	0	0	0	2	0	0	0	0
H041_219	4013	11004	5374	7214	5573	3031	6590	5364	3403	776	1426	2916	1344
H041_2190	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2191	199	366	171	273	40	72	103	55	30	7	52	70	17
H041_2192	7	13	3	8	27	8	20	14	13	2	8	12	0
H041_2193	12	35	14	32	66	24	75	42	38	13	23	25	16
H041_2194	61	131	69	99	12	23	29	25	21	6	14	37	10
H041_2195	401	736	304	973	272	317	426	303	279	49	186	311	107
H041_2196	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2197	493	822	651	639	276	184	351	155	227	42	112	175	84
H041_2198	76	141	177	108	32	9	45	8	9	11	9	23	7
H041_2199	52	80	117	79	25	12	49	10	12	4	24	13	19
H041_22	9010	15610	7797	12725	6868	5461	8645	6562	6451	1614	3995	6646	2349
H041_220	3067	7784	3104	6702	2095	815	1860	1139	1260	416	551	769	639
H041_2200	33	38	62	70	4	4	15	1	5	5	4	3	5
H041_2201	432	842	603	424	322	300	480	282	218	64	136	180	65
H041_2202	694	1070	822	1302	214	141	373	105	130	57	195	313	104
H041_2203	481	899	950	629	438	599	964	398	384	65	219	320	76
H041_2204	388	332	308	220	452	348	711	147	204	71	113	114	77
H041_2205	425	526	305	347	576	424	465	423	365	92	222	300	133
H041_2206	17224	16459	15957	15528	13591	14538	37545	21897	13028	3389	8269	14815	5252
H041_2207	1640	1510	2532	1516	1702	869	4749	1193	1133	386	627	772	688
H041_2208	3047	3334	3825	3094	3756	3020	9689	3999	2823	990	1683	2628	1527
H041_2209	14170	25405	15474	21518	20242	18250	44038	25436	21148	6339	10266	15506	8919
H041_221	9900	14296	9447	12402	6632	4915	6284	7964	4036	1512	2629	5091	2059
H041_2210	7169	8613	6788	7975	8199	5552	16554	7515	6224	2006	3420	5068	3516
H041_2211	75	109	196	86	82	43	410	88	96	26	33	32	21
H041_2212	3918	8607	4233	6053	7042	5737	12009	8136	8281	1866	3292	4437	3059
H041_2213	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2214	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_2215	547	350	167	190	690	301	947	147	247	84	88	127	65
H041_2216	33	100	48	67	16	14	36	22	23	8	11	17	21
H041_2217	118	222	195	148	55	38	80	44	63	10	24	61	15
H041_222	5289	4430	4061	4675	3476	2558	3444	3547	1870	739	1335	2462	1084
H041_223	6965	6472	5560	7090	2813	2940	4280	3890	1855	693	1815	3470	932
H041_224	5910	10833	5849	10413	3183	2981	3556	3937	2721	743	2069	3467	1168
H041_225	131	228	159	273	41	61	89	39	41	9	43	68	11
H041_226	281	803	416	681	120	98	119	91	97	24	114	226	18
H041_227	4101	6869	4520	2170	10239	9655	15389	8546	11365	1433	5404	8293	2458
H041_23	2548	4415	2694	3544	1265	1577	2171	1656	1355	376	1347	2106	503
H041_234	3846	8457	3112	7655	1863	2015	2211	1304	1414	254	776	1043	495
H041_235	191	503	210	346	677	478	839	622	518	83	163	323	123
H041_236	63096	126400	33684	108983	7313	11283	15467	6464	12754	1857	6551	7581	2798
H041_237	2644	6242	3289	5554	962	887	1285	696	752	303	688	963	455
H041_238	4049	9135	4755	6478	1501	3299	5109	1358	1208	363	2173	2215	467
H041_239	1462	2973	1551	2768	1701	1888	2503	1524	1168	260	1021	1519	428
H041_24	117	328	211	163	269	156	345	123	173	51	49	81	46
H041_240	4899	11729	5113	10817	2959	3647	4913	2985	3157	671	2998	3727	859
H041_241	17479	15725	10541	16022	7351	7049	9269	8347	5539	1543	5029	8182	2380
H041_242	144	627	83	484	198	197	112	215	244	44	146	265	65
H041_243	12614	31115	10145	30021	1946	2216	3255	1554	2350	681	2513	2940	1539
H041_244	7739	14410	7649	12441	3236	3548	4608	2991	2234	646	2464	3695	1188
H041_245	1595	1601	1023	1876	654	892	1276	835	382	139	565	1071	248
H041_246	1018	1201	560	1571	408	460	641	427	275	92	422	608	164
H041_247	903	1838	919	1354	1413	1144	1506	1059	1079	370	721	1083	545
H041_248	14	15	4	13	7	15	6	8	13	1	2	14	2
H041_249	74626	174834	75563	156638	4587	8335	9992	6567	8509	2028	18320	26081	2798
H041_25	217	1021	629	496	536	607	1141	466	513	74	166	282	95
H041_250	1609	3093	1609	2986	643	608	1182	474	480	219	729	1074	324
H041_251	997	1779	1074	2039	746	559	943	558	555	157	469	813	283
H041_252	424	1041	816	996	163	118	316	71	88	48	110	98	69
H041_253	1630	3003	1732	2275	1407	1054	1779	1261	645	299	985	1967	445
H041_254	889	926	631	948	401	550	806	641	268	119	547	883	186
H041_255	490	756	470	910	290	243	453	233	172	103	311	383	151
H041_256	59	38	25	49	17	13	28	8	12	2	16	22	7
H041_257	1834	1913	1063	2047	585	708	1025	772	347	179	793	1311	194
H041_258	13593	18859	11048	18816	8662	5673	9808	5901	5064	1902	3803	5777	2351
H041_259	1787	2196	1332	1914	1980	1760	2939	1713	1101	476	1205	1929	522
H041_26	55097	85533	36289	68093	51277	36171	81073	35446	45886	8426	15175	22278	14429
H041_260	593	314	191	376	155	294	371	318	97	34	229	509	41
H041_261	21	11	4	12	61	59	59	44	17	7	22	51	20
H041_262	5387	9455	7399	11768	2819	5968	10606	1324	1851	913	4503	2913	1525
H041_263	8743	14486	10188	10755	9247	8134	16204	12196	8586	1875	5219	10047	3043
H041_264	7322	12749	8047	9294	12222	11249	20368	16170	10911	2573	6717	12209	3699
H041_265	10433	15332	7947	14157	10423	12170	17844	12603	11793	2295	7101	12616	3535
H041_266	2727	3968	1724	4882	546	655	625	475	319	295	681	1106	348
H041_267	385	400	232	377	96	135	126	104	24	34	144	300	38
H041_268	4466	5170	2473	4497	140	301	290	183	209	266	987	1431	313
H041_269	81	113	43	111	49	28	53	22	17	12	37	64	10
H041_27	605	1224	771	1048	472	547	831	535	515	129	371	584	177
H041_270	159	498	166	398	58	51	70	48	67	18	56	81	21
H041_271	139	391	85	162	44	52	63	46	76	14	53	64	27
H041_272	106	304	192	194	395	251	459	188	184	36	112	155	77
H041_273	106	221	128	210	167	69	170	69	84	21	38	56	32
H041_274	7685	11297	6589	8554	9050	5052	9086	5477	4751	1690	2709	4787	2923
H041_275	3733	9705	4513	6342	5323	6192	10928	5841	5614	1084	3680	6116	1592
H041_276	431	1073	498	804	868	693	949	769	656	114	465	869	233
H041_277	495	1079	581	595	723	463	910	359	496	106	283	469	159
H041_278	178	444	290	357	261	169	405	117	137	43	98	157	58
H041_279	1826	4350	1912	3584	2640	2565	3457	1766	1955	394	1477	2236	690
H041_28	1936	4560	2331	3604	1352	1683	2194	1223	1322	307	1064	1477	445
H041_280	6055	5355	3839	5468	3194	3559	4821	3355	2481	693	2109	3199	973
H041_281	982	1667	603	1487	897	727	869	878	649	169	516	1092	255
H041_282	1002	2135	870	1458	1587	1219	1685	1073	1207	316	631	1035	479
H041_283	3	21	3	7	7	7	6	4	11	0	3	8	1
H041_284	4386	8659	3974	7995	6962	5802	8096	5115	5553	957	2844	4247	1345
H041_285	1641	1869	1047	1756	755	1116	1214	921	616	170	700	885	239
H041_286	2514	3204	1721	3340	1054	1111	1584	1090	914	275	757	1210	362
H041_287	2253	5209	2917	4085	2213	2358	3959	2193	2012	469	1322	2130	742
H041_288	37451	83654	31723	77936	4829	7723	10578	6353	6690	1691	9453	14502	2478
H041_289	511	340	303	373	182	154	260	171	93	12	82	131	20
H041_29	162	137	146	145	48	52	89	14	32	12	24	14	18
H041_290	1486	2287	1149	2106	929	813	1200	907	698	146	484	686	241
H041_291	7683	9249	5474	9883	2478	2513	3206	2328	1697	490	1777	2603	749
H041_292	4263	6452	3569	6673	2452	2860	3874	2244	1969	523	1995	3110	726
H041_293	987	1951	824	1736	1323	1099	1513	858	775	250	823	1038	329
H041_295	985	1652	827	1548	1060	899	1208	597	686	275	606	784	327
H041_296	1055	1084	730	1127	479	535	700	532	374	135	280	465	219
H041_297	840	1544	989	1808	818	1033	1420	389	650	165	496	545	273
H041_298	987	1627	1082	1448	1088	758	1555	716	610	250	356	591	397
H041_299	2047	3718	2122	3220	2537	2182	3617	1981	1765	552	1110	1789	791
H041_3	110	126	55	51	241	133	159	138	220	16	78	63	40
H041_30	336	782	307	657	160	186	264	138	141	39	87	125	50
H041_300	957	726	515	1160	193	227	267	181	112	44	116	204	61
H041_301	1543	3015	1874	2063	520	718	992	515	425	136	389	673	174
H041_302	128	294	106	196	117	114	158	102	139	30	71	98	36
H041_303	150	423	334	250	98	182	330	226	142	33	150	247	28
H041_304	62	100	102	89	15	10	40	19	10	1	3	21	9
H041_305	317	894	695	710	41	115	186	53	69	8	155	100	32
H041_306	626	1334	639	906	349	431	741	451	408	83	276	437	140
H041_307	517	1055	474	831	133	145	202	189	174	36	117	180	41
H041_308	641	476	443	465	180	216	444	161	122	53	135	182	76
H041_309	2309	2751	1732	2724	723	654	959	779	449	145	384	827	223
H041_31	70454	63135	40240	54580	32457	35523	54870	38104	35754	7665	17720	27820	11223
H041_310	3129	5629	2742	5057	3059	2579	3536	2180	2057	532	1427	2247	714
H041_311	36528	65537	24530	79567	4696	5719	8069	6100	8212	1839	10572	15431	3085
H041_312	2674	2993	3731	3062	1852	1325	4015	1030	1016	324	993	910	584
H041_313	6343	11347	5378	9794	2834	2439	3424	2135	1797	716	1498	2185	758
H041_314	234	509	260	320	216	139	256	159	119	55	100	203	61
H041_315	74	280	130	259	65	84	156	74	72	14	65	71	24
H041_316	283	614	289	404	283	307	589	142	219	124	248	295	112
H041_317	29054	68305	15367	65092	1668	2493	3130	1253	2653	1183	7284	7214	2190
H041_318	3824	6979	3200	5758	1911	2331	2853	1931	1674	475	1305	2160	594
H041_319	9182	10525	5719	12225	2837	3147	3377	3566	2771	805	2638	4075	1309
H041_32	4102	16225	6245	13762	2628	2259	3035	2407	2345	572	1544	2479	866
H041_320	961	2342	1281	2302	363	514	642	295	313	92	392	507	84
H041_321	1477	2428	1833	1639	1038	1280	2142	1229	717	209	743	1155	318
H041_322	2470	4855	3460	3404	777	1534	2672	1264	847	232	1187	1685	286
H041_323	4702	9880	5029	5612	4921	4507	6773	4533	4165	1180	2902	4554	1490
H041_324	11439	29013	10223	21029	3765	3495	4232	3227	3257	862	2851	3974	1486
H041_325	2636	3776	1531	2921	688	918	1358	572	799	218	601	640	319
H041_326	4019	4710	3455	3313	1214	2092	2360	1309	1363	357	1037	1592	389
H041_327	48319	75971	39941	74844	19095	21428	31145	22291	19198	4241	14672	23496	7403
H041_328	14441	17645	11158	17927	4532	4454	7292	6514	4099	1056	3278	6203	1870
H041_329	13011	16720	11105	17449	4554	5502	9611	5501	4401	1066	4010	6515	1586
H041_33	8567	6026	4411	6609	1104	1668	1916	1689	849	282	1296	2135	383
H041_330	10986	17576	9206	16180	4395	4587	8081	5480	4771	1219	3979	5626	1907
H041_331	96732	121827	74998	114977	28734	37379	61269	33733	28986	8646	31525	47257	11813
H041_332	1067	1437	645	1669	904	718	879	553	445	173	372	556	201
H041_333	3992	4095	2400	3983	2217	1848	2545	1721	1211	588	1050	1564	623
H041_334	2770	4892	2128	4952	2713	2244	2541	2008	1401	635	1357	2221	848
H041_335	633	591	386	471	400	206	404	192	89	43	140	211	83
H041_336	1916	2123	1141	2178	635	464	711	657	231	154	468	936	205
H041_337	1032	1450	676	1522	669	436	671	427	237	163	283	503	170
H041_338	242	538	225	580	195	115	206	190	88	46	124	171	63
H041_339	98	161	95	164	204	108	154	124	62	43	80	102	42
H041_34	274	545	250	480	90	130	215	66	42	25	61	73	68
H041_340	315	620	273	591	484	292	375	373	159	88	163	288	129
H041_341	771	1296	552	1284	687	445	510	358	208	156	271	370	162
H041_342	1264	1751	910	1834	611	403	512	462	258	114	255	428	144
H041_343	748	1193	512	1303	377	287	378	348	136	95	207	399	87
H041_344	297	661	260	874	247	220	303	289	125	54	210	423	67
H041_345	1208	2191	1099	1936	1176	1244	1499	1257	916	203	806	1432	353
H041_346	112	325	152	339	158	134	174	168	142	30	95	188	50
H041_347	133	284	433	268	83	88	413	27	41	13	47	45	21
H041_348	7935	11926	6191	10350	4896	4308	5878	5366	3850	1065	2837	5140	1429
H041_349	44	121	64	45	93	49	87	56	14	3	34	65	22
H041_35	1477	3118	2177	4221	649	674	2140	109	410	196	357	249	284
H041_350	3	0	1	1	1	2	4	2	0	0	0	1	2
H041_351	68	90	78	71	47	33	63	21	25	8	30	31	7
H041_352	38	109	54	70	18	24	32	11	21	4	10	16	10
H041_353	1151	1542	735	1498	611	649	760	484	386	110	387	607	217
H041_354	238	362	248	394	249	257	346	143	145	42	111	117	67
H041_355	2723	6073	3097	4363	2800	3433	5247	3667	2644	539	2170	3420	698
