"D55_H041_T1_20190110"	"D55_H041_T1_20180201"	"D60_H041_T1_20180208"	"D6_H041_T1_20180131"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D6_PMN_H041_T0_20180131"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_PMN_H041_T1_20181212"	"D6_PMN_H041_T1_20180131"	"D55_130_T1_20181106"	"D55_130_T1_20180201"	"D60_130_T1_20181113"	"D60_130_T1_20180208"	"D6_130_T1_20181108"	"D6_130_T1_20180131"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_PMN_130_T1_20180208"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_3X130_T1_20190129"	"D55_3X130_T1_20180201"	"D60_3X130_T1_20190305"	"D60_3X130_T1_20180208"	"D6_3X130_T1_20180802"	"D55_PMN_3X130_T0_20180201"	"D55_PMN_3X130_T0_20190129"	"D60_PMN_3X130_T0_20180208"	"D60_PMN_3X130_T0_20190305"	"D6_PMN_3X130_T0_20180802"	"D6_PMN_3X130_T0_20190307"	"D55_PMN_3X130_T1_20190129"	"D60_PMN_3X130_T1_20180208"	"D60_PMN_3X130_T1_20190305"	"D6_PMN_3X130_T1_20180802"	"D6_PMN_3X130_T1_20190307"
"NGO0001"	12.5094078291363	12.7715047863976	12.6080578724856	12.4741049521893	13.4760530152763	13.2110586598008	13.4023309646544	13.5021862553551	13.615213775882	13.1848127229619	12.9714467796169	12.9740059472529	12.9897190337014	12.603003647899	12.6780310563913	12.6748900326291	12.8349912639541	12.7904470873199	12.4409383637798	13.3894026933997	13.6614102858408	13.1917810298925	13.3383981367766	13.6492583445274	13.2854784917049	13.0842753575928	13.6786886410953	13.2327055742658	13.1260605788563	13.3221922864409	12.5567029148948	12.6842276079895	12.5383841997169	12.7972247218709	12.8327927605505	13.351142854747	12.992938686982	13.3453332576716	13.2241906459952	13.1159336875393	13.0653147010222	12.5582834814398	13.1517626534029	12.973180572669	12.9194805519252	12.7837809314753
"NGO0002"	12.3087594576303	12.3764870700822	12.333364101239	12.3678615840085	12.1978450546802	12.1434478823436	12.1087700858411	12.6645568627154	12.3689681471232	12.0883683568867	11.9818445849056	12.2437267463957	12.1660959217602	12.4137274017713	12.326588537897	12.1761688559038	12.2443176850789	12.7434049996628	12.2461668482835	12.1503759262613	12.9035937273361	12.0012930341997	12.1077927035055	12.6391002821809	12.1539326551897	12.0842347057283	12.5539879629466	12.2510130419589	12.0808973102356	12.4086020229136	12.3066513379818	12.3802341318461	12.1578645761194	12.4436646603514	12.445145630089	11.993284194956	11.8514715739084	12.1915318408504	11.8201706218888	12.0051801258692	11.9220508597272	11.7191614791971	12.3202217249223	11.7193681405425	12.2296568216325	11.7395113040391
"NGO0003"	11.3294139812984	9.87715242187852	10.6179353603128	9.84290719779345	10.7408107883678	10.7288512244752	10.5408112881296	11.156901865968	10.3453827000487	11.0048359077497	10.6253871400893	10.8721223676994	10.8958219876597	11.3837957771046	10.1870270389573	10.6606705155617	10.2936294719019	11.3957112122051	10.0706828197288	10.8194911835513	11.002816316025	10.4698404161876	10.7895409793539	10.6917210948935	11.0581160384567	10.7942006070277	11.037718403901	10.7622251770312	10.5215800679138	10.8395756556445	10.8197566833625	10.0141768699621	10.8462385384992	10.3686236417705	10.315332186054	10.7725852848191	11.0081186691121	10.1837887339084	10.5520933852536	10.5588329380433	10.5821638701497	10.5718795737701	11.0963784245677	10.3071432443184	10.8221998325326	10.4215422929271
"NGO0006"	13.6223977661434	12.5873838879391	12.6055776213118	12.6173030186601	12.198188898504	12.5603472542423	12.6460970804692	12.7871630115563	12.3739792805212	12.7094951513756	12.6495026992982	12.6829927077237	12.6045465044212	13.3008306926554	12.4723460055966	12.8926177521048	12.2211923284446	13.6109934375447	12.4347252999815	11.7808105440698	12.4464971715744	12.3014157282083	11.6835384356081	12.271359501456	12.5128881406741	12.4659815705107	12.6334358636358	12.4548306337666	12.4630578706351	12.5859686527241	13.0387072228862	12.327432784458	12.8514298075872	12.1861461034216	12.355274314849	11.7785420176542	12.1037147500067	12.3903036402705	11.8559418375896	12.0529132437206	12.3742181500585	12.1650809793386	12.6074640956071	12.2968961442149	12.4474417443068	12.6504689422427
"NGO0007"	8.3199582424927	8.30379523935994	7.97105304694119	8.39918255658424	8.33886645976654	8.11073946763925	8.16012282672794	8.32635510677732	8.26543737936176	8.57506827677092	8.10136291662856	8.19104527738049	8.34113366297582	8.60670778414708	8.33924095336994	8.63734667342884	8.08492002552893	8.11278921725329	8.76457858518252	8.32769672679566	7.45070982264697	8.18160822045644	7.85412298611052	7.91934283689547	8.67237642707985	8.46369101134143	8.69144499459683	8.10398249428848	8.08309932933558	8.60249154827337	8.38703998412679	8.20207390524343	8.77663370917862	8.44258686151735	7.85570341903017	8.2109221789078	9.01907817115285	8.18007809366166	8.19655105213473	8.0500599225979	8.21186831980042	8.4379941009016	7.87954309064864	8.31811621399168	7.7040906530095	8.45891426720577
"NGO0011"	11.7361917262333	12.0065634462631	11.825775699154	11.9192152569657	10.9947252440656	11.10043658993	11.0863130610443	10.1936507402126	10.7376421446597	10.5911758945131	11.1987431716331	10.8275757398263	10.8728894910886	10.6801950618118	11.6463711076442	11.0601764120863	11.4059157084814	10.4181032928822	11.4568140359026	11.3801438947718	10.2733856609366	11.4905716007817	11.5066771123243	10.6289667612399	11.6096816040352	10.9399617358325	11.0265094907591	11.2927306363359	11.32991325569	11.1057450983918	11.3662502151862	11.7925719793098	10.9748615844478	11.7415772825088	12.2018962828204	11.512447797245	11.1959851891618	11.4856462014813	11.8197932971941	12.1507009681393	11.5422727592377	11.3444657764599	11.1274740831109	11.1956452481293	11.4361154178512	10.8210017634271
"NGO0016"	12.1049316538427	12.254356010301	12.0096086430261	12.1239812514105	13.4998172697276	13.7471493677127	14.1758630204192	13.0268620194763	13.7094080587887	12.6259535804353	13.3600451312713	13.1715445809493	12.8223021302465	11.866662703303	12.1218572732135	12.3601937065684	12.2831548263128	10.9024097617638	12.1170289710324	12.7722741147919	11.7077975933317	14.1985315294063	12.6426538155839	12.2140044152192	13.4837339381831	12.2253674081125	12.0707756490758	12.7645583647146	13.0077702996286	12.0744807251188	12.2435409646434	12.1559620552488	12.1565789318095	12.2641428639917	12.3526703293944	13.2142847778247	12.6887023467752	13.7786614455142	13.4024495787316	13.4634448907089	13.4850746894247	13.2516822549191	12.4581761348519	13.4160013823531	12.8005053135648	13.215997612133
"NGO0017"	10.28185127562	9.78291949969455	10.3550631925817	10.0315129710116	9.41696378605401	8.97175826335056	9.55250081624567	9.00333797466993	9.36406047288453	9.2624858281908	8.86986785148175	9.00586820984117	9.37972542208325	11.3648434392367	11.5368910791671	11.5873378722386	11.7560193372596	11.3117416657706	11.7522717320263	11.0945895776421	10.0808308316132	11.4323871084878	10.7107944274631	10.5220536451093	10.7640118194171	10.9770939808836	10.4514638609132	10.8808341300363	10.8620588823113	10.8365061141634	11.938871190294	11.6920744499913	12.4238945987563	12.0438742134205	11.9471201983911	11.2840027653389	10.5051197066039	11.2989922163877	11.0935588510832	11.1354976155362	10.9154833082996	10.7463080895052	10.9408765485052	11.1255799236069	10.9238605011143	10.6394187039303
"NGO0018"	9.88088158877041	10.6365020195092	10.7915404294153	10.7328687596196	9.58230442123359	10.4299004488096	10.3735311224769	10.0042569199601	9.68308183632394	9.45390728109315	10.3459664256603	10.2587577582988	9.64366567292533	9.84160691509671	10.9205385424699	10.3739809746638	10.6092889490104	10.3186781143928	10.7258278738145	9.65402542276512	9.67808208467852	10.1894423551465	9.98446362813406	9.4939522396226	9.3877695565217	9.88080090290819	8.99180637971169	10.1334027067514	9.97233255058207	9.89292502709812	10.0805243036156	10.5878546700708	9.75867102244938	10.1274650118225	11.0821607835429	9.3559380505039	9.49578090850831	8.90256428546162	9.22050839148739	9.82530272173875	8.95676751130134	9.76725413265444	9.77548721871687	9.46659919112672	9.84241613174041	9.03159185141753
"NGO0019"	10.898487452793	11.616525895513	11.7294287310915	11.4543343674003	9.78292932761213	10.409514830493	10.2811060086423	10.2663535365933	10.3547768928598	10.2047107734538	10.547567398558	10.4163938536091	10.104067942684	10.758823461713	11.5851774361098	10.9707330357834	11.2437606346524	11.4631647277311	11.3762617650135	9.84236754011689	10.4868909554002	9.86481178281077	10.3492779929184	10.0725519029602	9.70699440766958	10.301482651624	10.0821753912037	10.178104153814	10.1876818419947	10.4023495700593	10.9491292976739	11.524224677659	10.9122377073807	11.3611972495686	11.823880319845	10.3056416773842	9.92980926557053	9.37481223744883	9.64427004033454	10.0751562650905	9.68407703126062	10.390599085488	10.1875286856497	10.3632917406908	10.3741502787841	10.0614018963803
