ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H041_1	21.1293158413666	0.939056000489218	0.448672186826393	2.09296682090208	0.0363521164793024	0.0793516941747782
H041_10	695.025383478432	0.473839429824158	0.203133325159842	2.33265235751594	0.0196663985872063	0.0478266666457206
H041_100	4803.44192739722	0.150573995605443	0.171523058356107	0.877864451861798	0.380017282513307	0.507580628625511
H041_1000	234.145989103372	-0.491109571008231	0.315927878382968	-1.55449899996767	0.12006543501926	0.209712954644845
H041_1001	109.86644051034	-1.30851944568357	0.27616589879398	-4.73816445621234	2.15662763336614e-06	1.71300194908816e-05
H041_1002	465.96863449732	-0.311063572552822	0.225508953176651	-1.37938457950782	0.167776211164966	0.270853558828141
H041_1003	195.234888735832	-0.153467656637332	0.320992820742586	-0.478103081191347	0.632576839160474	0.736595884618858
H041_1004	850.976787419393	-0.727142799153495	0.158335682305998	-4.59241270548369	4.38150805033402e-06	3.05564380076465e-05
H041_1005	206.183113427749	-0.659655854927844	0.272243994010238	-2.4230318003013	0.0153915792745559	0.0387385651862016
H041_1006	2884.6350420446	-1.14104292705779	0.189819767565987	-6.0111912562591	1.84164977907857e-09	3.05333840356756e-08
H041_1007	1322.03572317206	-0.317502339783322	0.323031028018152	-0.982884962262758	0.32566405971125	0.455973338295443
H041_1008	2812.68292652107	-0.646817196425892	0.108219657646256	-5.97689191126606	2.27434990831525e-09	3.62680683852714e-08
H041_1009	10626.8527979582	-4.0664633056599	0.328075152821255	-12.3949140027542	2.78444282904346e-35	2.9083505349359e-32
H041_101	896.464295103449	0.286445874641189	0.246887013763859	1.16023062644828	0.245954920769987	0.363366216045617
H041_1010	2551.07854730948	-0.91537320263794	0.221125586116732	-4.13960780709798	3.47900080179293e-05	0.000191758118072439
H041_1011	2377.52819701274	0.12134655780078	0.196624797443598	0.61714778287611	0.537137253961552	0.656570932431646
H041_1012	451.974179331349	-0.388473574173519	0.271472668091886	-1.43098595119723	0.152434241544788	0.25373317178252
H041_1013	4298.99416929827	-0.44969448186237	0.233014502420233	-1.92989911439659	0.0536193391866039	0.109706953536548
H041_1014	561.101578127233	-0.74846063717477	0.259159442422929	-2.88803151518338	0.00387661029357189	0.0124070241488406
H041_1015	293.987518450612	-0.39288761573358	0.236109557236808	-1.66400555882425	0.0961113185228124	0.175503972372513
H041_1016	689.528234263828	0.374225757018329	0.20180016142765	1.85443735213511	0.0636766151443494	0.125966334314911
H041_1017	2043.7324672628	0.0234090199078569	0.190499421642944	0.122882367337224	0.902200248621416	0.932904297894583
H041_1018	67.1404324561828	-0.129433141133946	0.337790644091517	-0.383175624896465	0.701589549854441	0.787121680798027
H041_1019	2968.84082231164	0.589638780211618	0.149527126317879	3.9433565984416	8.03490441577877e-05	0.000408392100354303
H041_102	559.17800354817	0.94072973179342	0.199692618732026	4.71088885391311	2.46638725059944e-06	1.89422167886112e-05
H041_1020	1611.40863527602	0.899188301118747	0.14338467994404	6.27116022067126	3.58367616050321e-10	7.12980904694401e-09
H041_1021	1256.06887558068	0.603166991365932	0.195363981943005	3.08740119528225	0.00201914882761474	0.00708907882502049
H041_1022	2536.69216080777	0.325874306386391	0.210402186092892	1.54881616221667	0.121425919169237	0.211382287620448
H041_1023	235.462425709387	1.30540689335378	0.233785731389132	5.58377487623895	2.35353321113543e-08	2.99788468174507e-07
H041_1024	258.727167737117	1.3694732138124	0.291098920134207	4.70449431135309	2.54495962315981e-06	1.94607623664718e-05
H041_1025	501.232532527448	2.81457996164391	0.357054436422097	7.88277549453723	3.20188052008443e-15	1.59255438248961e-13
H041_1026	257.421111235415	-0.3585678095598	0.194895160415626	-1.83979842698573	0.0657978364718276	0.128820693898452
H041_1027	37.2198465217588	1.48348109651763	0.435855093944802	3.40361078057174	0.000665014403789226	0.00271779124241469
H041_1028	70.4167051266816	0.0846935096672996	0.308413138308773	0.274610576357831	0.783615439871329	0.850817387677342
H041_1029	55.5182084122328	0.609283919958792	0.332849438435946	1.83050908188942	0.0671738499907354	0.131265136629778
H041_103	2423.33911091572	-0.0631323450847458	0.149786214847689	-0.421483012631985	0.67340241310779	0.767869891365815
H041_1030	62.81075297987	0.842678692364349	0.305668898674836	2.75683491522235	0.00583638092424842	0.0172694047461118
H041_1031	261.280414270496	1.00853830674378	0.234930540760391	4.29292123314185	1.76337576368195e-05	0.000106465085847734
H041_1032	259.263619476067	1.10780790355896	0.227139330383729	4.87721744044693	1.07592810805807e-06	9.2876604038566e-06
H041_1033	881.330241049205	-0.293896877541684	0.147487222626542	-1.99269382328712	0.0462949841622996	0.0970012255918193
H041_1034	7113.82637515807	-0.600890662086364	0.120041263522179	-5.00570091029859	5.56591239934138e-07	5.01768774035894e-06
H041_1035	2886.45767366457	-1.16301963078203	0.222998778984794	-5.21536322340732	1.83457388580344e-07	1.91621242372169e-06
H041_1036	6231.04388784938	0.367421892417804	0.165228706999936	2.2237170470501	0.0261674875548548	0.0606702347415002
H041_1037	409.764970577531	0.648985077445001	0.29245180476392	2.21911804568582	0.0264786946593701	0.0611204344126234
H041_1038	68.928778044808	0.0571169459436965	0.355968213300564	0.16045518619234	0.872522520406803	0.915594312059438
H041_1039	35.7766613844194	-0.171812679172162	0.520539554290351	-0.330066519933137	0.741349700118913	0.816814094698529
H041_104	1849.22898681987	-0.0953904295880324	0.164043310446587	-0.58149539489507	0.560906621035089	0.675345623982501
H041_1040	660.783196919759	1.62296621349543	0.28442286583597	5.70617347773796	1.15544238833044e-08	1.58797312448835e-07
H041_1041	155.363820867807	0.0102996576726008	0.45059425067899	0.0228579429433031	0.98176358829127	0.987911433497333
H041_1042	5569.39018974583	1.3426539293906	0.234165152969744	5.73379049940911	9.82106292230368e-09	1.36774669631283e-07
H041_1043	1383.47704612368	0.278266005468788	0.168169712620979	1.65467372888924	0.0979906988565339	0.178467802886922
H041_1044	154.756422479242	-1.27782693956272	0.355612537284541	-3.59331239927651	0.000326500745330656	0.00143591590946472
H041_1045	345.105468392667	-0.0645949142961243	0.305807736921885	-0.211227207481099	0.832709981182728	0.891153253427622
H041_1046	682.638818740922	-0.283831198479386	0.155090488692781	-1.83010061333695	0.0672348952579524	0.131265136629778
H041_1047	2790.02465882398	-0.50991867664985	0.106314084718119	-4.79634168889145	1.61589553552831e-06	1.339526100682e-05
H041_1048	1970.65600149667	-0.483286332780251	0.218166203536034	-2.21522089557023	0.0267449063229366	0.0615987974736655
H041_1049	5465.31399405896	-0.254079870437959	0.173925580699982	-1.46085394348196	0.144055528285386	0.241912531238257
H041_105	761.176260393858	0.77551057796059	0.178884696867037	4.3352538900352	1.45591983973183e-05	9.07885535880537e-05
H041_1050	42.1468400411784	0.751899251485378	0.370635927513874	2.02867341147663	0.0424915657845065	0.0905764091059531
H041_1051	6.08810145786619	0.0539803789530167	0.773664016636267	0.0697723789555476	0.944374831984926	0.960309705687304
H041_1052	11.67613871777	0.172803539483746	0.543422466268191	0.31799115827954	0.750491643760274	0.823412312928157
H041_1053	72.9449985194739	-0.188131902322372	0.32957042412884	-0.570839761546156	0.568108267338289	0.681273346997524
H041_1054	54.66069449125	0.717573243157101	0.383829978538415	1.86950807201028	0.0615521616650069	0.122693192479198
H041_1055	5.89701664149241	-0.884838100629718	0.702836087015386	-1.25895371193475	0.208047051467999	0.319152417370088
H041_1056	7659.12245095337	-0.4378417404252	0.166799575511465	-2.62495716240661	0.00866598693395491	0.023793872380347
H041_1057	6288.32962382218	-0.655844521518572	0.203410658133509	-3.22423872739308	0.00126308055956063	0.00473711901063224
H041_1058	546.628879641487	0.484617617237129	0.184261219857976	2.63005757592758	0.00853704083789026	0.0235586239238478
H041_1059	10599.4599392461	0.102834501582054	0.175160965341556	0.587085720734247	0.557146137169051	0.671985150430802
H041_106	8141.54436937833	-0.072012267968806	0.328235555178713	-0.219392039749008	0.826344670354268	0.886157092592436
H041_1060	7965.80293205609	-0.238254871299089	0.249285604652985	-0.955750620380786	0.339198241323182	0.468811810340225
H041_1061	20481.4427316428	0.0979781714415413	0.212066760333229	0.462015693961581	0.644070066049914	0.745726083621775
H041_1062	12572.8802381854	-0.690811253725684	0.218620622730701	-3.15986316888609	0.00157843248280412	0.00574450427975229
H041_1063	768.941212983766	-0.43333087560352	0.250445399795265	-1.73024090663179	0.0835872425526931	0.156744838144144
H041_1064	2399.18889260102	0.298394080867625	0.235598569392138	1.26653604747051	0.205321232214852	0.316076679511294
H041_1065	7920.89508229017	-0.162604885228066	0.14727118828986	-1.1041187832886	0.269541614303479	0.392111721643431
H041_1066	307.28749583205	-1.07820242477377	0.34644705138116	-3.11217088001	0.00185716965579738	0.00657563967959443
H041_1067	1430.88923701147	-0.588425188984106	0.187931658323413	-3.13105941933146	0.00174176915484329	0.00624109050509028
H041_1068	5842.41589075851	0.341196528892911	0.202474288411683	1.68513509329723	0.0919625102920631	0.168961903254283
H041_1069	30309.5875256696	-0.437876884580359	0.205369973291677	-2.13213683364736	0.0329955993859576	0.0734055453857991
H041_107	390.675398869658	1.10719359524539	0.288800719880682	3.8337632804476	0.000126197592491295	0.000611663041100501
H041_1070	19208.3752442467	-0.18455567670961	0.216776907488139	-0.851362254624418	0.394568152403903	0.523667643184087
H041_1071	2559.06949529719	1.22494928018618	0.211630524741031	5.78815027598277	7.116573139752e-09	1.03239731173208e-07
H041_1072	293.201292000692	0.869086547465149	0.267977807449101	3.24312880882952	0.00118224748989079	0.00448224139089268
H041_1073	151.408152175582	-0.318290564555252	0.231094739118041	-1.37731635852027	0.168414459782732	0.271328741819421
H041_1074	2165.78095477955	-0.224884388454347	0.161981596870049	-1.38833295139547	0.165035682726017	0.26767045125361
H041_1075	627.087735724868	-0.0886135259042783	0.200355802541326	-0.442280806347002	0.658286018294229	0.756035623222026
H041_1076	303.452664689641	0.066036997147251	0.163974379832626	0.402727531060994	0.687148678264076	0.778867926692162
H041_1077	273.008146707564	1.23153334053649	0.159643812355745	7.71425664649111	1.21689383266942e-14	5.64909159210317e-13
H041_1078	6997.052832616	0.330763633054349	0.26763324031139	1.23588397565828	0.216501694250786	0.329404252942384
H041_1079	717.81909604925	0.0120358623021917	0.175022044743422	0.0687676933487777	0.945174534161451	0.960309705687304
H041_108	822.594008352919	0.805284657214483	0.262209881694866	3.0711453436053	0.00213239322896692	0.00746159037740685
H041_1080	153.37826846896	-0.108241581851428	0.293206979138491	-0.369164411329726	0.712005180888972	0.79453996948561
H041_1081	183.639548041687	0.0587122606848653	0.295930793319089	0.198398618901273	0.842733197925299	0.896826108235328
H041_1082	119.214990440771	0.351870270704481	0.289393000778893	1.21589074289092	0.224026544930303	0.339124240840148
H041_1083	91.1356100837942	-0.244747109678362	0.359591819457904	-0.680624798548882	0.496108931383112	0.619955367001769
H041_1084	1153.16814379104	0.0634186710085155	0.172767622202109	0.367074977360783	0.713563091601005	0.795267516037336
H041_1085	451.814036586795	-0.0920390005430062	0.194314320685099	-0.473660408653885	0.635742090332968	0.738634720080962
H041_1086	123.672788831247	-1.41138804152542	0.416555198814421	-3.38823773065957	0.000703432662405015	0.00284334351702436
H041_1087	3101.56735856297	0.172455767642173	0.309411243610644	0.557367488103267	0.577276374017431	0.689891501900694
H041_1088	6371.00381240695	-0.357528789060529	0.179703751402615	-1.98954549512719	0.0466410254065947	0.0975306327070834
H041_1089	700.738208064926	-1.77081351337415	0.292794003599305	-6.04798421964113	1.46669318254213e-09	2.5321669903558e-08
H041_109	367.299732972518	1.01169561538735	0.242571265083019	4.17071500633474	3.03645413552939e-05	0.000170514857234433
H041_1090	63.7140354568755	-1.21035849281867	0.338399915781941	-3.57671038428568	0.00034794530042373	0.00151428694288578
H041_1091	983.051636047473	0.850503771380299	0.129811984934954	6.55181239087029	5.68429276896877e-11	1.39699854051479e-09
H041_1092	6915.70141670003	-3.80093922776375	0.985241030290528	-3.85787752530255	0.000114375932118996	0.000559558131607923
H041_1093	737.348886019862	-2.67835822653535	0.362095268940198	-7.39683297816766	1.39470792215969e-13	5.60297086421461e-12
H041_1094	138.179995720294	-0.341205944369967	0.364501684515926	-0.936088799762622	0.349227469211567	0.477445146062148
H041_1095	14635.8766711929	1.08857734988139	0.19528747296709	5.57423030439251	2.48626644926465e-08	3.11006623503823e-07
H041_1096	1101.37210403647	-0.347833898211312	0.182006603994149	-1.9111059191154	0.0559909706522543	0.113558386109281
H041_1097	4134.91252535752	0.0724035433115581	0.11453871473118	0.632131620138114	0.527300874833914	0.647959722075321
H041_1098	2625.65050417736	-0.487258480841665	0.165321714919714	-2.94733502539758	0.00320525730421336	0.0105778554636678
H041_1099	781.847740058426	1.22034147320985	0.229680368839436	5.31321627257991	1.07707080428989e-07	1.17187547404249e-06
H041_11	598.997981185935	0.780235994924249	0.241048813551857	3.23683814671171	0.00120861940041522	0.0045499099926894
H041_110	621.381246649041	0.575963771074501	0.206940222220956	2.78323742428153	0.00538194060685676	0.0162001065240976
H041_1100	7809.4139837259	0.925585359530712	0.281593386574594	3.28695702264132	0.00101276288831234	0.0038962461762145
H041_1101	21127.7637923455	0.534732230314979	0.346335522894931	1.5439716545542	0.122595199631959	0.212885596035879
H041_1102	534.230348430227	-0.416450023901449	0.164933186154792	-2.52496197769808	0.0115710807728558	0.030120958602054
H041_1103	523.088557078483	-0.75407272988353	0.226764665909412	-3.32535374000801	0.000883064183100485	0.00345519498045006
H041_1104	845.90732394791	0.237550767099853	0.339990739473419	0.698697757085306	0.484740935945567	0.610014346500174
H041_1105	444.317169872107	-0.193683244123667	0.271107211002396	-0.714415685984667	0.474970175273671	0.601341027967696
H041_1106	3303.2635942518	-0.127046245191813	0.227853923069642	-0.557577607092516	0.577132851087751	0.689891501900694
H041_1107	341.03095343462	-1.84708708618545	0.199567609282888	-9.25544527402342	2.1333932150884e-20	3.71388202193306e-18
H041_1108	21860.0873653335	2.29547174275387	0.282968017715101	8.11212433577919	4.97423628912403e-16	2.96890845942288e-14
H041_1109	3443.40105386917	-0.683766216990869	0.248284548736023	-2.75396201846556	0.00588786006447695	0.0173235770066089
H041_111	1063.91584608656	0.601380154382806	0.210209269056295	2.86086411452082	0.0042248809332288	0.0132718440143082
H041_1110	287.360226738374	-1.38590633805748	0.303735108317184	-4.5628783110914	5.04570626616449e-06	3.46726328619001e-05
H041_1111	440.993245676972	-0.769643336596696	0.229691586104742	-3.35076852247314	0.000805876352906113	0.00319445104595991
H041_1112	1057.48672595031	-0.322655996714144	0.272081691369162	-1.1858791199455	0.23567004007182	0.352660969706327
H041_1113	8.05065838627551	-0.446842223367488	0.60288720475235	-0.741170520530517	0.458590055234735	0.585213576900038
H041_1114	16.7163372535891	-0.0520662861055936	0.476132660271675	-0.109352477681084	0.912922924945228	0.939412447314352
H041_1115	63.4136333535291	-1.41792687604955	0.336080604615029	-4.21900834674391	2.4537919013658e-05	0.000140053860162655
H041_1116	4330.00809500882	-1.29087958855184	0.195496089434032	-6.60309672837439	4.02656623961358e-11	1.02579230177473e-09
H041_112	666.819864452383	0.677398092055086	0.360129973011202	1.8809822642394	0.0599743314975424	0.120006109672764
H041_1123	3686.59249603661	0.846955219444088	0.780444395243931	1.08522173341942	0.277823460621273	0.401642359334145
H041_1124	5243.67891906491	1.02957127122403	0.233124125677297	4.41640807545253	1.00354549091988e-05	6.52498582501199e-05
H041_1125	9432.56514622821	0.351478924679653	0.143784577925626	2.44448277938027	0.0145060005753094	0.0367755281575502
H041_1126	422.581155028915	-0.797251443010945	0.366203492580132	-2.17707219937694	0.0294751809341918	0.067000710523968
H041_1127	3275.92003137413	0.0798115533297042	0.188293971070353	0.423866748765333	0.671662995261296	0.766723495683523
H041_1128	1235.07637725516	-0.376311735209764	0.138980570517278	-2.70765714811179	0.0067759982469927	0.0193111327939533
H041_1129	532.712150221876	-0.207510101955495	0.36974046718806	-0.561231783833794	0.574639538246631	0.687526916035059
H041_113	1078.05956506048	0.0841213589292791	0.188478678759539	0.446317639124589	0.655367816445699	0.754304886256235
H041_1130	3647.25122993377	0.746066020046911	0.251530651325138	2.96610379735597	0.00301598681653148	0.010048479202128
H041_1131	22.5447123952991	0.986206420191727	0.349397705058074	2.82258986225399	0.00476374696657983	0.0146560639369444
H041_1132	104.443356405102	1.21118130948484	0.3890277150381	3.11335481423533	0.00184973493412368	0.00656043510591575
H041_1133	275.540051917767	0.916184681440105	0.291786831457968	3.13991099893787	0.00168999169388329	0.00606596675003814
H041_1134	810.429659409441	-0.0395145782339154	0.273810777008029	-0.144313451302746	0.885252956891261	0.923964129007154
H041_1135	68.3596067015307	0.126088489388575	0.25889697284855	0.487021875927204	0.626242828380101	0.731258394905551
H041_1136	1663.00560408153	-1.20656332326173	0.196902994971547	-6.12770427100959	8.91560985213845e-10	1.57836516789129e-08
H041_1137	1819.49094097076	0.334661853212398	0.179694654462177	1.86239181245561	0.0625478823818089	0.124440501233904
H041_1138	1730.12187667749	0.453568836293889	0.142345398348167	3.18639619936636	0.00144057170580436	0.00531688037707653
H041_1139	603.444525660921	0.232398289064819	0.243305892656263	0.955169176248211	0.339492150774196	0.468811810340225
H041_114	742.196544922033	0.346792099648623	0.301965582353639	1.14844909458088	0.250783216348085	0.368674270901583
H041_1140	698.283305724923	1.17701456072147	0.149893526327465	7.85233751956773	4.0835374362258e-15	1.98383946611063e-13
H041_1141	646.464310755852	0.454958477593489	0.195936230338893	2.32197218863806	0.0202344331993937	0.0489232997147379
H041_1142	270.162876281533	-0.540834379151609	0.214251558870795	-2.5242961218208	0.0115930228488944	0.030120958602054
