"D55_H041_T1_20190110"	"D55_H041_T1_20180201"	"D60_H041_T1_20180208"	"D6_H041_T1_20180131"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D6_PMN_H041_T0_20180131"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_PMN_H041_T1_20181212"	"D6_PMN_H041_T1_20180131"
"H041_1"	5.16088125913687	5.52414858129736	5.38977532159641	5.27114806064026	6.36025457243857	5.90433287291587	5.81932676856702	6.2816639540516	5.89961533307047	5.91848269419347	5.56579553815026	5.78343551775519	5.58580839384239
"H041_10"	8.9298249546058	9.40518308343116	8.84699390153985	9.36183872907582	9.7353554889986	9.51514540734524	9.33941906095881	9.94827233321963	9.94425720430714	9.37614350744309	9.58298552914586	9.76171619763783	9.61504665159649
"H041_100"	12.1122334366806	12.0418605035292	12.0950480270164	12.1722401404445	12.3790820550455	12.1181951621163	12.0935789702115	12.7887299048678	12.150646265048	12.3381344798296	12.0591238996335	12.3112369938053	12.3053876440469
"H041_1000"	9.11953917750991	7.7168121397206	7.91128324235993	8.23251023455847	7.7696970399193	8.27340399687544	8.23468098983786	7.82462887146979	7.86630157677768	8.11255436600885	8.0092133657928	7.75752018318944	7.77858736550484
"H041_1001"	7.65608274042785	7.69304231018203	7.48657909604242	8.27265752852261	7.00740732804378	7.05158578711301	6.82085754397082	6.78163669833105	6.87382526410422	6.67434179025589	6.80043481897753	7.05135070146659	6.41846459136497
"H041_1002"	8.41741902117758	9.25642547366178	9.77232687252742	9.133658617504	8.61314682236784	8.80188103709068	9.18875956031397	8.77581219541297	8.72681107681312	8.6194346192441	8.82096169357172	9.18268984356741	8.94138207057389
"H041_1003"	7.17000022860002	7.80366245042413	8.64467430977625	7.55510201799255	7.90523151644273	7.98590434949472	8.24762450028975	7.70020557455157	7.96451037869252	7.39488680657388	7.68513160283582	7.58619223752743	8.1339021773054
"H041_1004"	10.2864305337053	10.057327090528	9.97333042539839	10.6828642908915	9.50450713792884	9.81802091563524	9.27474779994596	9.14251599006847	9.58018397636918	9.75932635509014	9.52947187952259	9.24108493178422	9.72817863930301
"H041_1005"	8.90976784952593	7.8580287054241	8.15042241251704	8.08130065121303	7.52311544924103	7.69796483039508	7.80114769988009	8.06867432058312	7.57174461422154	7.84024198166561	7.93267875004526	7.65029087398715	7.53703726595647
"H041_1006"	11.68401782155	12.4405391309188	12.1880772146036	12.5420999237416	10.6443659550004	10.758810075562	11.1411068883423	10.6783302516428	11.2790401185151	10.9356087765511	11.1806704375631	11.0575537270102	11.2511964056824
"H041_1007"	10.0523959832824	10.7470918970689	11.0170876219662	10.6259701479917	10.1465336541824	10.1423174190513	10.9670522613	9.55880106839001	10.1237943812185	10.4376420154276	10.4053002821171	9.62814124251435	10.6659119097759
"H041_1008"	12.0747188287605	11.7540395734435	11.8803171351734	12.0760584508658	11.0958740555705	11.2189834845983	10.9873551457249	10.9642479799352	11.2562757540501	11.3341874116082	11.289648956103	11.1657035578191	11.4635977536619
"H041_1009"	14.6908570170896	14.8787160669805	14.864182174388	15.2422198202987	9.60132860414215	9.9194300108097	10.4963270972594	8.84951322834156	10.8640331231293	10.8708538454984	11.0785447276915	9.9300851576124	11.5554730330745
"H041_101"	9.44988689451616	9.39645944625965	9.76800648786986	9.85993860471	10.4481881204141	9.56030311694397	10.1330099981434	10.1940060049422	9.53205135972069	9.99642043752657	9.55224671629203	9.80104052566687	10.1897328071784
"H041_1010"	11.7614662865174	12.0334528621161	11.9692807698608	11.8540427482456	10.5727423431	11.175509888783	11.1684607275744	10.5027393033865	11.2790401185151	11.0305638962753	11.3501551525603	10.8309690985785	10.7600992166152
"H041_1011"	10.8376490404097	11.5453358496218	11.2962055753265	11.1034338845068	10.8108130446173	11.0050437130388	11.1836223278681	11.2500818314426	11.5088868954033	11.2501259692735	11.3255959905488	11.5850365613557	11.1772592898118
"H041_1012"	8.9225638048385	9.33767048383112	9.70272868421721	8.90177117300841	8.38885125134467	8.6280434464547	8.88042084350558	8.63993830855329	8.92644868785988	8.13491076764653	9.28281547673898	9.25248490671476	8.50559407138932
"H041_1013"	12.4450139813802	12.4947941944749	12.5291886867597	12.6566261484237	11.3256426040835	11.4544091708277	11.2878532530734	11.9578660323937	11.6814168876534	11.5376911444563	12.4088415982062	12.5169033006134	11.6918221080371
"H041_1014"	8.79315601532341	9.95564477968788	9.98081564339835	9.71961370572262	8.7658204826669	9.1075032954091	8.93927761914267	8.75404093652734	9.26676871262638	9.0292837746471	8.91632872277004	9.06345849930144	8.88665573153951
"H041_1015"	8.83824312527061	8.16570874203548	8.39788541812897	8.21887315741884	8.22491110050652	8.36064399750884	8.4818382531583	8.85293022547572	8.76485465293096	7.97050947135315	8.13587937183416	8.30729995329047	7.89480333246675
"H041_1016"	8.9779011342014	9.15574012001753	9.02973573489934	9.20135776629216	10.058801281084	9.58900900673565	9.7173365177662	9.63411578377228	9.98593278833574	9.83599542912812	8.95533939273114	9.19928073727143	9.6967513867475
"H041_1017"	11.044615017558	10.9406309889601	10.9806969940969	10.9310440578685	11.3245529459677	10.7887972407427	10.7340281451733	11.3667949995663	11.0768033898762	11.0216431028787	10.6843468151928	11.0046616118642	11.2547956205126
"H041_1018"	7.11253883015924	6.53443659103268	6.56728302837632	6.75897163230267	6.96201776332622	6.50291767773682	6.56589404798212	6.97505359541806	6.37694908651061	6.31128187144801	6.46601086143325	6.71299551417924	7.0891294808968
"H041_1019"	11.3804060331084	11.1187727725156	10.7630809924079	11.3193515177852	11.8766173284366	11.8100038211831	11.469609471836	11.6902507915522	11.4781194428646	11.7086116301474	11.7588102590613	11.7182967724742	11.7439715753156
"H041_102"	8.28180083725863	8.36735615653729	8.87140037267533	8.39022618716439	9.80736192697449	9.16967704120997	9.80059295902772	9.71321689029866	9.1246247576634	9.39470392616183	9.15839188131113	9.34696758794057	9.45517553453899
"H041_1020"	10.1741568518057	10.2539366692587	9.87933695629416	10.1881938378672	10.9437924309477	10.6531900708878	10.481406630736	10.9128910516982	10.8842908630476	10.8971057008223	11.0844121035535	10.9719696050961	11.0296033459217
