"H041+PMN_1h_vs_H041_1h"	"H041+PMN_1h_vs_H041+PMN_0h"
"H041_501"	0	1
"H041_504"	0	1
"H041_507"	1	0
"H041_508"	0	1
"H041_509"	0	1
"H041_520"	1	0
"H041_530"	1	0
"H041_535"	1	0
"H041_539"	1	0
"H041_541"	1	0
"H041_544"	1	0
"H041_549"	1	0
"H041_550"	1	0
"H041_558"	1	0
"H041_568"	1	0
"H041_585"	0	1
"H041_595"	1	0
"H041_598"	0	1
"H041_611"	1	0
"H041_615"	1	0
"H041_625"	1	0
"H041_628"	1	0
"H041_633"	1	0
"H041_640"	1	0
"H041_641"	1	0
"H041_642"	1	0
"H041_661"	1	0
"H041_691"	1	0
"H041_707"	1	0
"H041_72"	1	0
"H041_721"	1	0
"H041_728"	1	0
"H041_73"	1	0
"H041_746"	1	0
"H041_750"	1	0
"H041_756"	1	0
"H041_773"	1	0
"H041_777"	1	0
"H041_778"	1	0
"H041_779"	1	0
"H041_780"	1	0
"H041_783"	1	0
"H041_789"	1	0
"H041_790"	1	0
"H041_796"	1	0
"H041_804"	1	0
"H041_809"	1	0
"H041_811"	1	0
"H041_82"	1	0
"H041_847"	1	0
"H041_849"	1	0
"H041_851"	1	1
"H041_854"	1	0
"H041_856"	1	0
"H041_866"	1	0
"H041_873"	1	0
"H041_882"	1	0
"H041_884"	1	0
"H041_890"	1	0
"H041_900"	1	0
"H041_902"	1	0
"H041_911"	1	0
"H041_950"	1	0
"H041_959"	1	0
"H041_963"	1	0
"H041_966"	1	0
"H041_969"	1	0
"H041_973"	1	0
"H041_977"	1	0
"H041_978"	1	0
"H041_979"	1	0
"H041_980"	1	0
"H041_981"	1	0
"H041_986"	1	0
"H041_992"	0	1
"H041_997"	0	1
"H041_998"	0	1
