ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Opaless3X_1	1.29326616797403	0.384091118747798	1.23211556753324	0.311733029651405	0.755243423868236	0.864675940665915
Opaless3X_10	101.547697126362	-0.11815578378732	0.23256285177605	-0.508059575658712	0.611411563595806	0.767555545447127
Opaless3X_100	770.570784087481	0.0191990244245151	0.222238238068153	0.0863893837145495	0.931156885948651	0.961386278212601
Opaless3X_1000	846.928190917819	0.127868470262595	0.210513355803586	0.607412626027868	0.543577111412693	0.71044106902568
Opaless3X_1001	187.850751974515	-0.240275547562858	0.224898993983277	-1.06837093091099	0.285353224214567	0.479933026944211
Opaless3X_1002	181.543524959611	0.152613794475934	0.323349738601182	0.471977479048365	0.636942863633604	0.785512967548141
Opaless3X_1003	57.467078108329	0.752603262604204	0.413944795257925	1.81812471427564	0.0690450734136924	0.180089005140461
Opaless3X_1004	283.007746071347	0.420820983260234	0.373772621506817	1.12587428571881	0.260218735007445	0.453277281975624
Opaless3X_1005	833.131777904131	-0.0987265978893543	0.131122644618978	-0.752933241822865	0.451490031256786	0.636249488362127
Opaless3X_1006	212.462267968324	1.01963501232739	0.262626666825682	3.88245041774136	0.0001034091061774	0.00105880836032372
Opaless3X_1007	1.85197262666934	-2.07075257537032	1.58096129223556	-1.30980599306272	0.190261475220907	0.361410711754466
Opaless3X_1008	265.912148945849	0.082004475287339	0.192311718901324	0.426414343108315	0.669805951768879	0.808001547564872
Opaless3X_1009	338.365749084124	-0.172666150298911	0.317242837211302	-0.544271233408195	0.586254839386009	0.746239483245138
Opaless3X_101	142.61296267512	0.154413732650045	0.353329885591294	0.437024262444245	0.662093752445141	0.802724966356591
Opaless3X_1010	1409.33196418277	0.10186052004716	0.179063023217107	0.568852900041002	0.569455971301605	0.733305572860165
Opaless3X_1011	2303.45242282672	-0.205827894120872	0.109236728442022	-1.88423707901611	0.0595329141336259	0.162285177618806
Opaless3X_1012	12027.7264090004	0.825224468092913	0.25080714441419	3.29027496413784	0.00100089524779471	0.00686561805595128
Opaless3X_1013	2918.25698075044	0.254281293172692	0.429213290200279	0.592435739941881	0.553558839569884	0.718565246912299
Opaless3X_1014	3495.20141849934	-0.0581010026243286	0.1510934309686	-0.384536920313916	0.70058053695897	0.828928155060247
Opaless3X_1015	271.582191346602	0.103045467924553	0.198696112818566	0.518608373675868	0.604033868521829	0.762351855074488
Opaless3X_1016	21.1228926157757	-0.405653808277351	0.417871655017164	-0.97076172410088	0.331666946979745	0.526204778314804
Opaless3X_1017	415.69544585042	0.288159280740689	0.271459492438556	1.0615185276894	0.288454317423944	0.48321277914833
Opaless3X_1018	14896.5764783543	1.83353119183498	0.293554453387908	6.24596619357744	4.21188274459628e-10	2.67901269118412e-08
Opaless3X_1019	2247.88464926961	0.0107134169167068	0.115259189051847	0.0929506532610394	0.925942764413796	0.959779685187436
Opaless3X_102	180.71497675458	0.0698078244969422	0.273672764527825	0.255077718885851	0.798663072827589	0.889909388111734
Opaless3X_1020	5451.02473685351	0.715773304966562	0.161647669848888	4.42798405715147	9.51179303785559e-06	0.000152406515927167
Opaless3X_1021	617.207889145281	-0.119267812084646	0.267769491377846	-0.445412251675636	0.656021859916063	0.799181592550097
Opaless3X_1022	1197.74932728902	-0.120713698758773	0.217036116115629	-0.55619175701827	0.578079773651665	0.740415788046327
Opaless3X_1023	1582.62000192648	-0.049035536142407	0.236156909237683	-0.207639642222174	0.835510348872794	0.910525571965581
Opaless3X_1024	4547.54683572893	-0.010122061745812	0.0866707724436771	-0.116787487412666	0.907028459492378	0.94766188973345
Opaless3X_1025	4532.7940685737	0.278809224173333	0.171804328370729	1.62283003471079	0.104625743314031	0.243739661727137
Opaless3X_1026	1185.40943222393	-0.0586598900937989	0.232236642113861	-0.252586713103779	0.800587598562655	0.891003907414111
Opaless3X_1027	2657.12207185685	0.195636383238237	0.250854011863601	0.77988142100997	0.435460675185597	0.621534507885555
Opaless3X_1028	27005.2999607745	0.0973947129358739	0.154256365329851	0.631382132773657	0.527790695686157	0.697608155648427
Opaless3X_1029	7435.3934575802	0.21756992204585	0.188696705058037	1.15301389061845	0.248904683113006	0.438297759944799
Opaless3X_103	376.525773103272	0.0634446139950963	0.336932426100034	0.18830070684933	0.850640931280773	0.917777058149328
Opaless3X_1030	6819.41642701599	0.0473792091109344	0.141110831906777	0.335758839138833	0.737052731597086	0.851073717033208
Opaless3X_1031	6610.88796874191	0.196699866297237	0.154720328834915	1.27132528594296	0.203612950315767	0.379896517966929
Opaless3X_1032	47276.2318680331	0.0618051027378267	0.13767821253786	0.44890982820416	0.653496705918546	0.798887353362276
Opaless3X_1033	748.91227527632	-0.656582536586244	0.162240688521041	-4.04696591571166	5.18857929310371e-05	0.000601456245436807
Opaless3X_1034	2216.1152357009	-0.293858708776184	0.189261291368985	-1.55266143779647	0.120504039548788	0.269617322146301
Opaless3X_1035	2233.65679262712	-0.271559062929709	0.136991217703835	-1.98231001579093	0.0474445537289876	0.137549887123128
Opaless3X_1036	303.957742941242	0.022848970848881	0.273658473868787	0.0834944758912765	0.933458369656934	0.962815291356219
Opaless3X_1037	847.42208571678	0.372138090139056	0.194372796876759	1.91455849850742	0.0555488320914251	0.154228834073944
Opaless3X_1038	1268.06674601025	-0.0142484663613792	0.200488507909399	-0.0710687435901218	0.943343044250559	0.967306814793319
Opaless3X_1039	1350.24491680206	0.293767613053245	0.18477556323322	1.58986181891627	0.111865955639543	0.255502329583678
