"D55_130_T1_20181106"	"D55_130_T1_20180201"	"D60_130_T1_20181113"	"D60_130_T1_20180208"	"D6_130_T1_20181108"	"D6_130_T1_20180131"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_PMN_130_T1_20180208"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_3X130_T1_20190129"	"D55_3X130_T1_20180201"	"D60_3X130_T1_20190305"	"D60_3X130_T1_20180208"	"D6_3X130_T1_20180802"	"D55_PMN_3X130_T0_20180201"	"D55_PMN_3X130_T0_20190129"	"D60_PMN_3X130_T0_20180208"	"D60_PMN_3X130_T0_20190305"	"D6_PMN_3X130_T0_20180802"	"D6_PMN_3X130_T0_20190307"	"D55_PMN_3X130_T1_20190129"	"D60_PMN_3X130_T1_20180208"	"D60_PMN_3X130_T1_20190305"	"D6_PMN_3X130_T1_20180802"	"D6_PMN_3X130_T1_20190307"
"Opaless3X_1"	4.64920987618335	4.68542951697392	4.40877185219671	5.00589848400403	4.69897018943111	4.72961860628108	4.97937563052309	5.06337673651486	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.87738254478277	4.40877185219671	4.77196171298123	4.73950559978487	4.76166991774532	4.6765583459988	4.68832848779731	4.40877185219671	4.81291271115397	4.83903183746074	4.70014912356517	4.84107780632284	4.40877185219671	5.0091763165903	5.09685741132575	4.40877185219671	4.80073126865124	4.40877185219671	5.00880158884558
"Opaless3X_10"	7.18812873291634	7.66133416056123	7.57407521012586	7.25769602806495	7.0368996172266	7.64031035937644	7.28281196568499	6.28973847212885	7.06987321305208	6.95732633729155	6.80619557580922	6.91948627989489	6.81772195629661	6.7953979298421	6.72862239042751	6.83728817871899	6.49602407805588	7.41324072893353	7.57945032308538	7.48112926791033	7.71941207632366	7.72959217496392	6.81101644764672	7.23680093080056	6.94425096567356	7.10005799309165	6.86371386727046	7.14265434759319	7.50102669532058	6.60462266062872	6.72875461063188	6.79486476590644	6.8691345191053
"Opaless3X_100"	9.27769053469011	9.40184023255869	9.82898862551363	9.19282259015007	9.13135366247243	9.53897645766157	9.89569597544219	9.04440505980058	9.98394295757495	9.33769605637023	9.85480829369045	9.92027410431179	9.69982789038584	10.0846574740799	9.42476431395776	10.0509087653006	9.59369318806839	9.47638941969466	9.2848769007491	9.67668954223464	9.43353655808966	9.35013991148796	9.53102227988307	9.82651016265988	9.62652823777423	9.74101807547789	9.70500624385111	10.1603059897537	9.89627773660538	8.9704286964799	10.0166482972809	9.19286419621089	10.4450217618673
"Opaless3X_1000"	9.83451286682331	10.5339560040333	9.88652000590159	10.3954544686154	10.3512958476924	9.91445216595462	8.99056478173707	9.28317430512071	9.55992372861256	9.52633870121027	8.81900912678458	9.42688459025457	9.27815733931193	9.46483749441805	9.54544489783426	9.31204814464134	9.62372237581214	10.2412629874489	10.227491089987	9.93334457761421	10.3600032236972	11.1483156921684	9.20540632912769	9.38777966369275	9.1924761000028	9.35484268438368	9.94600662472946	9.58344735794641	9.50769760425762	9.84560185018386	9.4439912474031	9.99613138929949	9.01538837567341
"Opaless3X_1001"	7.32462943427844	7.69480930644042	7.77109236932458	7.11781082985249	6.55027884532955	7.80747721376529	8.21743801044083	7.41213931455648	8.00784126456733	7.83558691730806	8.01496026829409	8.29428123312584	7.63042282091892	8.19384078187259	7.75222298710469	8.10947033797963	8.23270423194184	7.30296634118947	7.31941394735313	7.25311463977737	7.50468183959701	7.16016817514366	8.32001716912675	8.25079316708948	7.99196092639148	8.10977401577017	8.05669676000311	7.99261283219553	7.97973989540962	7.72634931731803	8.04868289746195	7.8986628872736	7.90326973793718
"Opaless3X_1002"	7.80593707120515	7.54056463172342	8.05773263003811	7.83764005255746	8.00172230732682	7.56503693019515	7.57558778938037	7.49871714711325	8.06106804099037	8.26798042990688	7.41653846016331	7.67859863969456	7.11187188103636	7.71329612100235	8.13195274855785	7.8256839876805	7.54079940031324	7.71170260173582	7.6554021751204	6.12465742509843	7.78957127201727	7.8420493227758	8.20108915299593	8.09796093595493	7.44834508495061	7.88614405506406	8.10013612885599	7.16840377601928	8.64085319711147	7.98927594702561	7.86420539750254	7.9769245812231	7.08833152379088
"Opaless3X_1003"	6.6886704710277	6.46433702487639	6.6058453138494	6.78619061270006	7.7453128033107	6.5565081992142	5.93540850537924	6.60217162038373	6.41345428682366	6.13389763560163	6.05057279921579	6.09525983426489	6.44022765198179	6.44195390330651	6.36123756353382	6.28064377303286	6.49602407805588	7.46527739793619	6.33534758577454	6.3938095001798	7.00651532344222	6.51624627518972	6.22995461923112	7.07960937222387	6.29391945403179	6.22666748379715	5.70060573704307	5.48757280598953	7.60325147060491	6.46083237335169	6.48379752659032	6.05537981929586	6.35206929416614
"Opaless3X_1004"	8.34927046940828	8.97573126064197	8.90789079615554	8.97695867283421	7.77429108727757	8.90484746207239	7.32197841603332	7.73042637283084	8.45313909198185	7.89645524442905	7.58457394074279	7.63157466107806	7.26809555594536	7.59949132203771	8.72232600170742	8.15037566718789	8.05953982566883	8.89140118235004	9.38943135648439	7.4133952618154	9.11714092041707	9.35013991148796	8.08934269572741	8.40112853376487	7.7132928102388	7.96652068199688	7.66566004022639	7.38086118283522	9.3531903094527	8.1938725942187	7.37473553014942	8.05110356804428	7.30065719257364
"Opaless3X_1005"	9.62129071256285	9.64377445799404	9.70545674789529	9.68887284141381	9.45966945231738	9.52457234254758	9.896970604974	9.73903599942563	9.9473721367116	10.1176731411857	9.70404704144249	10.030480437027	9.58808808095313	9.83390966240025	9.82814242142992	9.72967435315492	9.88773972254941	9.53757372621505	9.66556091123679	9.17724563432233	9.69277900147962	9.7353721022727	10.0274444149597	10.1790583537665	9.88195921479427	10.0583276099563	9.7137239912575	9.45112228835127	10.1361957051474	9.76953595867246	9.80132116590928	9.59742381556788	9.61412686587692
"Opaless3X_1006"	8.86630849370072	8.78990780850981	8.98143403159396	8.51957997796856	8.90830987801762	8.77160153923583	6.38119789388032	6.55508293894418	7.33992556209782	6.28911845066648	6.72171796313997	6.76444594023419	7.25324293404214	7.50523179325834	7.17479129177965	7.4573336833891	8.02223179849023	8.97429134557056	9.26302280973969	8.71714570812531	9.06844898136371	8.79506391415092	6.51134089708706	6.8037367538499	6.76491248860519	6.96984762091532	6.20509489434729	7.11641491909215	7.83045040966078	7.29276586196525	7.56963841719734	6.90862812033148	7.74367517207595
"Opaless3X_1007"	4.74841135552947	4.79943002429224	4.90204156922205	5.19459615859551	4.69897018943111	4.86159231241192	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.79712425532489	4.40877185219671	4.98145929632083	4.40877185219671	4.40877185219671	4.81339642442134	5.0801320629214	4.40877185219671	5.65295081951177	5.04970909259025	5.3833160563601	4.40877185219671	4.82014718950312	4.40877185219671	4.72291388307966	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.40877185219671	4.75685655480406
"Opaless3X_1008"	8.28478825740582	8.74703914710591	9.02903056933657	8.3207708458592	8.68414408693693	8.68528452986486	7.475433011607	7.75063207234105	7.9525461715059	7.46430889113515	7.69215633879811	8.04947546571387	7.99092040678186	8.40012650570227	7.81935008718965	8.00622416549403	8.79682068968481	8.89651171637607	8.80209324423282	8.61523935393898	8.85279957117711	9.18722199944715	7.48556785644427	7.74502555853493	7.89442522916144	7.86231828301431	8.07314209804867	7.75359633925882	8.00780420019291	7.5739648116853	7.87402083400729	8.1667483576923	7.82571724815746
